Name,Status,District,Temperature - celcius,Precipitation (mm),Humidity (%),Approx. NDVI Value,Soil Moisture (%),Cloud Cover (%),Dew Point (°F),Evapotranspiration (mm/day),Solar Radiation (W/m²)
Thudiyalur,Town Panchayat,Coimbatore,30,1020,75,0.65,15,55,65,4.0,560
Thuraiyur,Municipality,Tiruchirappalli,30,970,77,0.55,15,50,66,4.1,550
Thuthipattu,Census Town,Vellore,30,1010,76,0.60,10,45,65,4.2,530
Thuvakudi,Municipality,Tiruchirappalli,30,990,74,0.56,15,50,67,4.3,550
Timiri,Town Panchayat,Vellore,30,1150,78,0.63,10,55,66,4.4,570
Tindivanam,Municipality,Viluppuram,30,1320,75,0.61,10,50,64,4.1,560
Tiruchendur (Thiruchendur),Town Panchayat,Thoothukkudi,30,1010,79,0.62,20,45,64,4.2,550
Tiruchengode,Municipality,Namakkal,30,1180,80,0.63,15,50,63,4.2,530
Tiruchirappalli,Municipal Corporation,Tiruchirappalli,30,1230,81,0.58,15,55,64,4.2,550
Tirukalukundram,Town Panchayat,Kanchipuram,30,1010,76,0.55,10,50,63,4.3,570
Tirukkoyilur (Tirukoilur),Town Panchayat,Viluppuram,30,970,78,0.63,10,45,64,4.4,560
Tirumalaigiri,Census Town,Salem,30,1350,79,0.65,15,50,63,4.2,550
Tirunelveli,Municipal Corporation,Tirunelveli,30,1080,76,0.58,20,55,64,4.3,530
Tirupathur (Tiruppattur),Municipality,Vellore,30,990,78,0.72,15,50,61,4.1,550
Tirupathur,Town Panchayat,Sivaganga,30,970,80,0.60,15,45,63,4.3,570
Tirupattur,Census Town,Vellore,30,1050,79,0.65,15,50,64,4.0,560
Tiruppur,Municipal Corporation,Tiruppur,30,1270,77,0.55,10,55,63,4.5,550
Tirusulam,Census Town,Kanchipuram,30,1020,75,0.62,10,50,64,4.2,530
Tiruttani (Thiruttani),Municipality,Thiruvallur,30,1180,78,0.60,10,45,63,4.1,550
Tiruvannamalai,Municipality,Tiruvannamalai,30,1030,80,0.66,10,50,63,4.0,570
Tiruverkadu,Municipality with Outgrowth,Thiruvallur,30,970,82,0.68,10,55,64,4.1,560
Tiruvethipuram (Cheyyar),Municipality,Tiruvannamalai,30,1350,79,0.64,10,50,64,4.2,550
Tiruvottiyur,Municipality,Thiruvallur,30,1010,81,0.62,10,45,63,4.1,530
Tittacheri,Town Panchayat,Nagapattinam,30,980,77,0.63,20,50,64,4.1,550
Tittakudi,Town Panchayat,Cuddalore,30,970,78,0.59,10,55,63,4.3,570
Tittangulam,Census Town,Thoothukkudi,30,990,79,0.57,10,50,64,4.2,560
T.Kallupatti,Town Panchayat,Madurai,30,1050,76,0.60,20,45,63,4.0,550
TNPL Pugalur,Town Panchayat,Karur,30,1320,80,0.67,15,50,63,4.2,530
Udangudi,Town Panchayat,Thoothukkudi,20,1020,74,0.55,20,55,61,4.2,550
Udayarpalayam,Town Panchayat,Ariyalur,30,1500,75,0.62,15,50,64,4.1,570
Udhagamandalam (Ooty),Municipality,The Nilgiris,30,1100,73,0.73,30,45,64,4.2,560
Udumalaipettai,Municipality,Tiruppur,30,990,76,0.50,15,50,66,4.3,550
Ullur,Census Town,Thanjavur,30,970,78,0.57,10,55,63,4.0,530
Ulundurpettai,Town Panchayat,Viluppuram,30,980,80,0.61,10,50,64,4.2,550
Unjalur,Town Panchayat,Erode,30,1010,79,0.66,10,45,63,4.1,570
Unnamalaikadai,Town Panchayat,Kanniyakumari,30,970,78,0.63,25,50,61,4.0,560
Uppidamangalam,Town Panchayat,Karur,30,980,81,0.58,10,55,64,4.2,550
Uppiliapuram,Town Panchayat,Tiruchirappalli,30,1010,75,0.62,10,50,63,4.1,530
Urapakkam,Census Town,Kanchipuram,30,990,77,0.64,10,45,63,4.2,550
Usilampatti,Municipality,Madurai,30,970,76,0.56,15,50,61,4.3,570
Usuppur,Census Town,Cuddalore,30,1180,74,0.68,10,55,64,4.0,560
Uthamapalayam,Town Panchayat,Theni,30,1010,78,0.62,20,50,64,4.1,550
Uthangarai,Town Panchayat,Krishnagiri,30,990,75,0.65,15,45,63,4.2,530
Uthayendram,Town Panchayat,Vellore,30,1050,79,0.65,10,50,63,4.3,550
Uthiramerur,Town Panchayat,Kanchipuram,30,1020,80,0.59,10,55,64,4.1,570
Uthukkottai (Uthukottai),Town Panchayat,Thiruvallur,30,980,81,0.60,10,50,63,4.0,560
Uthukuli,Town Panchayat,Tiruppur,30,970,76,0.66,10,45,63,4.3,550
Vadakarai Keezhpadugai,Town Panchayat,Tirunelveli,30,990,78,0.65,15,50,64,4.2,530
Vadakkanandal,Town Panchayat,Viluppuram,30,1010,79,0.66,10,55,63,4.4,550
Vadakkuvalliyur,Town Panchayat,Tirunelveli,30,1150,76,0.63,20,50,64,4.2,570
Vadalur,Town Panchayat,Cuddalore,30,1010,78,0.60,10,45,63,4.1,560
Vadamadurai,Town Panchayat,Dindigul,30,980,80,0.62,10,50,61,4.3,550
Vadavalli,Town Panchayat,Coimbatore,30,1000,79,0.58,10,55,66,4.2,530
Vaddakkankulam,Census Town,Tirunelveli,30,980,77,0.65,20,50,63,4.4,550
Vadi,Census Town,Virudhunagar,30,1020,75,0.60,10,45,61,4.1,570
Vadipatti,Town Panchayat,Madurai,30,980,78,0.62,20,50,64,4.3,560
Vadugapatti,Town Panchayat,Erode,30,980,80,0.63,10,55,63,4.0,560
Vadugapatti,Town Panchayat,Theni,30,1270,82,0.65,10,50,64,4.2,550
Vaitheeswarankoil,Town Panchayat,Nagapattinam,30,1180,79,0.60,30,45,66,4.1,540
Valangaiman,Town Panchayat,Thiruvarur,30,1150,81,0.58,20,50,61,4.2,560
Valasaravakkam,Municipality,Thiruvallur,30,990,77,0.70,20,55,63,4.3,550
Valathur,Census Town,Vellore,30,1010,78,0.62,10,50,64,4.4,570
Valavandankottai,Census Town,Tiruchirappalli,30,970,79,0.59,20,45,63,4.3,530
Valavanur,Town Panchayat,Viluppuram,30,1020,76,0.63,20,50,63,4.1,550
Valayambattu,Census Town,Vellore,30,1010,80,0.65,20,55,64,4.0,560
Vallam,Town Panchayat,Thanjavur,30,1010,74,0.61,20,50,63,4.2,560
Vallam,Census Town,Kanchipuram,30,3200,75,0.64,20,45,64,4.3,520
Valparai,Municipality,Coimbatore,20,1270,73,0.60,30,50,64,4.0,530
Valvaithankoshtam,Town Panchayat,Kanniyakumari,30,1150,76,0.57,10,55,64,4.1,550
Vanagaram,Census Town,Thiruvallur,30,1020,78,0.59,20,50,63,4.2,560
Vanapadi,Census Town,Vellore,30,1010,80,0.68,20,45,63,4.3,530
Vanavasi,Town Panchayat,Salem,30,1150,79,0.62,10,50,64,4.1,550
Vandalur,Census Town,Kanchipuram,30,1080,78,0.63,30,55,63,4.1,560
Vandavasi,Municipality,Tiruvannamalai,30,980,81,0.64,20,50,64,4.2,570
Vandiyur,Census Town,Madurai,30,990,75,0.67,20,45,66,4.3,530
Vanganur,Census Town,Thiruvallur,30,970,77,0.62,10,50,64,4.0,550
Vaniputhur,Town Panchayat,Erode,30,1180,76,0.65,10,55,63,4.2,560
Vaniyambadi,Municipality,Vellore,30,1010,74,0.61,10,50,64,4.3,530
Vanniyoor,Census Town,Kanniyakumari,30,1020,78,0.66,20,45,61,4.1,550
Varadarajanpettai,Town Panchayat,Ariyalur,30,990,75,0.58,20,50,63,4.3,570
Vasudevanallur,Town Panchayat,Tirunelveli,30,970,79,0.60,20,55,64,4.2,530
Vathirairuppu,Town Panchayat,Virudhunagar,30,980,80,0.61,10,50,61,4.0,550
Vavarai,Census Town,Kanniyakumari,30,1050,81,0.63,20,45,63,4.1,560
Vazhapadi,Town Panchayat,Salem,30,970,76,0.62,20,50,64,4.2,530
Vedapatti,Town Panchayat,Coimbatore,30,1270,78,0.59,20,55,63,4.3,520
Vedaranyam,Municipality,Nagapattinam,30,1010,79,0.64,30,50,63,4.4,550
Vedasandur,Town Panchayat,Dindigul,30,970,76,0.67,20,45,64,4.1,530
Veeraganur,Town Panchayat,Salem,30,980,78,0.62,20,50,61,4.2,560
Veerakeralam,Town Panchayat,Coimbatore,30,1010,80,0.65,20,55,63,4.2,570
Veerakkalpudur,Town Panchayat,Salem,30,980,79,0.61,20,50,63,4.2,560
Veerapandi,Census Town,Tiruppur,30,980,77,0.66,20,45,61,4.3,560
Veerapandi,Town Panchayat,Coimbatore,30,980,75,0.58,20,50,64,4.4,560
Veerapandi,Town Panchayat,Theni,30,1180,78,0.60,20,55,63,4.2,520
Veerapandianpattinam Town,Census Town,Thoothukkudi,30,990,80,0.61,20,50,63,4.3,570
Veerappanchatiram (Veerappanchatram),Municipality,Erode,30,1150,82,0.63,20,45,63,4.1,560
Veeravanallur,Town Panchayat,Tirunelveli,30,1010,79,0.62,20,50,64,4.3,570
Velampalayam,Municipality,Tiruppur,30,1270,81,0.59,20,55,63,4.0,520
Velankanni,Town Panchayat,Nagapattinam,30,980,77,0.66,30,50,61,4.5,550
Velayudampalayam,Census Town,Tiruppur,30,990,78,0.60,20,45,64,4.2,560
Vellakinar,Town Panchayat,Coimbatore,30,970,79,0.61,20,50,17,4.1,530
Vellakkalpatty,Census Town,Salem,30,1050,76,0.65,20,55,66,4.0,560
Vellakoil,Municipality,Tiruppur,30,1020,80,0.55,20,50,67,4.1,550
Vellalur (Vellalore),Town Panchayat,Coimbatore,30,1150,74,0.60,20,45,65,4.2,530
Vellamcode,Census Town,Kanniyakumari,30,1010,75,0.56,20,50,67,4.1,550
Vellaravalli,Census Town,Tiruppur,30,980,73,0.63,20,55,66,4.1,520
Vellimalai,Town Panchayat,Kanniyakumari,30,1080,76,0.61,30,50,65,4.3,560
Vellore,Municipal Corporation,Vellore,30,990,78,0.62,20,45,66,4.2,550
Vellottamparappu,Town Panchayat,Erode,30,970,80,0.63,20,50,67,4.0,570
Velur,Town Panchayat,Namakkal,30,1010,79,0.58,20,55,70,4.2,550
Vembadithalam,Census Town,Salem,30,970,78,0.55,20,50,66,4.2,530
Vengampudur,Town Panchayat,Erode,30,990,81,0.63,20,45,65,4.1,560
Vengathur,Census Town,Thiruvallur,30,1150,75,0.65,20,50,66,4.2,570
Vengavasal,Census Town,Kanchipuram,30,1010,77,0.58,20,55,67,4.3,560
Vengikkal,Census Town,Tiruvannamalai,30,980,76,0.72,20,50,65,4.0,530
Venkarai,Town Panchayat,Namakkal,30,970,74,0.60,20,45,66,4.2,550
Venkatachalapuram,Census Town,Virudhunagar,30,990,78,0.65,20,50,65,4.1,570
Venkatapuram,Census Town,Krishnagiri,30,1010,75,0.55,20,55,67,4.0,560
Vennanthur,Town Panchayat,Namakkal,30,970,79,0.62,20,50,66,4.2,550
Veppathur,Town Panchayat,Thanjavur,30,1180,80,0.60,20,45,64,4.1,530
Verkilambi,Town Panchayat,Kanniyakumari,30,1050,81,0.66,10,50,64,4.2,560
Vettaikaranpudur,Town Panchayat,Coimbatore,30,1020,76,0.68,10,55,63,4.3,550
Vettavalam,Town Panchayat,Tiruvannamalai,30,990,78,0.64,10,50,64,4.0,570
Vijayapuri,Census Town,Erode,30,1270,79,0.62,20,45,63,4.1,530
Vikramasingapuram,Municipality,Tirunelveli,30,1010,76,0.63,20,50,64,4.2,560
Vikravandi,Town Panchayat,Viluppuram,30,990,78,0.59,20,55,63,4.3,570
Vilacheri,Census Town,Madurai,30,1010,80,0.57,20,50,64,4.1,550
Vilangudi,Town Panchayat,Madurai,30,1020,79,0.60,20,45,63,4.0,560
Vilankurichi,Census Town,Coimbatore,30,970,77,0.67,20,50,63,4.3,550
Vilapakkam,Town Panchayat,Vellore,30,980,75,0.55,20,55,64,4.2,560
Vilar,Census Town,Thanjavur,30,990,78,0.62,10,50,63,4.4,570
Vilathikulam,Town Panchayat,Thoothukkudi,30,1270,80,0.73,20,45,64,4.2,520
Vilathurai,Census Town,Kanniyakumari,30,1150,82,0.50,20,50,63,4.1,530
Vilavancode,Census Town,Kanniyakumari,30,1010,79,0.57,20,55,61,4.3,550
Vilavur,Town Panchayat,Kanniyakumari,30,990,81,0.61,20,50,66,4.2,530
Villukuri,Town Panchayat,Kanniyakumari,30,1150,77,0.66,20,45,63,4.4,560
Viluppuram,Municipality,Viluppuram,30,970,78,0.63,20,50,61,4.1,550
Viraganur,Census Town,Madurai,30,1020,79,0.58,20,55,64,4.3,560
Viralimalai,Census Town,Pudukkottai,30,990,76,0.62,20,50,63,4.0,570
Virinchipuram,Census Town,Vellore,30,970,80,0.64,20,45,64,4.2,550
Virudampattu,Census Town,Vellore,30,1180,74,0.56,20,50,66,4.1,560
Virudhachalam,Municipality,Cuddalore,30,1270,75,0.68,20,55,61,4.2,570
Virudhunagar,Municipality,Virudhunagar,30,980,73,0.62,20,50,63,4.3,530
Virupakshipuram,Census Town,Vellore,30,970,76,0.65,20,45,64,4.4,560
Viswanatham,Census Town,Virudhunagar,30,990,78,0.65,20,50,63,4.3,550
V.Pudupatti,Town Panchayat,Virudhunagar,30,970,80,0.59,10,55,63,4.1,560
V. Pudur,Town Panchayat,Thoothukkudi,30,1150,79,0.60,10,50,64,4.0,570
Walajabad,Town Panchayat,Kanchipuram,30,1180,78,0.66,20,45,63,4.2,560
Walajapet,Municipality with Outgrowth,Vellore,30,1500,81,0.65,20,50,64,4.3,520
Wellington,Cantonment (Board),The Nilgiris,20,1600,75,0.66,30,55,64,4.0,520
Yercaud,Census Town,Salem,20,1020,77,0.63,30,50,64,4.1,570
Zamin Uthukuli,Town Panchayat,Coimbatore,30,990,76,0.60,10,45,63,4.2,560
Zuzuvadi,Census Town,Krishnagiri,30,1200,74,0.62,10,50,63,4.3,520
